Produced from MIDL 1D BATSRUS MHD at x=32.00 Re (nT, km/s, cm^-3, K)

#COORDINATES
GSM

year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T
#START
2024  5  9  2 51  0   0     -0.80      2.26     -0.44   -467.01      4.04     -3.38    2.8775   212130.9
2024  5  9  2 52  0   0     -0.91      2.15     -0.44   -465.89      5.94     -0.91    2.7833   211326.5
2024  5  9  2 53  0   0     -0.88      2.18     -0.44   -465.10      7.60      0.54    2.7607   210105.5
2024  5  9  2 54  0   0     -0.76      2.26     -0.58   -463.70      8.35      0.68    2.7607   207828.8
2024  5  9  2 55  0   0     -0.70      2.31     -0.70   -463.01      8.22      1.15    2.7823   207052.1
2024  5  9  2 56  0   0     -0.61      2.25     -0.72   -463.26      8.35      1.37    2.8359   210042.0
2024  5  9  2 57  0   0     -0.49      2.03     -0.64   -464.34      9.15     -0.46    2.9596   217950.1
2024  5  9  2 58  0   0     -0.45      1.75     -0.44   -464.23      6.52     -1.32    3.1254   226375.5
2024  5  9  2 59  0   0     -0.38      1.53     -0.20   -461.91      6.20     -0.93    3.2228   229639.0
2024  5  9  3  0  0   0     -0.14      1.38     -0.12   -456.98      6.66     -1.23    3.1324   223838.9
2024  5  9  3  1  0   0      0.08      1.30     -0.16   -455.22      6.24     -2.10    2.8994   213079.9
2024  5  9  3  2  0   0      0.23      1.41     -0.25   -456.45      6.88     -2.89    2.7261   204865.3
2024  5  9  3  3  0   0      0.32      1.57     -0.48   -457.34      7.08     -3.38    2.6997   202770.8
2024  5  9  3  4  0   0      0.19      1.62     -0.69   -460.18      7.06     -2.13    2.5723   197943.9
2024  5  9  3  5  0   0     -0.35      0.98     -0.59   -462.44     14.20     -3.77    2.6719   197877.3
2024  5  9  3  6  0   0     -1.31      0.85     -0.14   -462.48     17.02     -9.14    2.8872   183774.6
2024  5  9  3  7  0   0     -2.05      0.74      0.02   -462.34     15.69    -10.47    2.9400   180704.9
2024  5  9  3  8  0   0     -2.39      0.54     -0.03   -462.55     14.32     -8.65    2.9214   184405.2
2024  5  9  3  9  0   0     -2.43      0.32     -0.08   -462.01     11.17     -5.63    2.9334   189611.7
2024  5  9  3 10  0   0     -2.25      0.17      0.12   -461.08      8.62     -3.74    2.9934   191871.6
2024  5  9  3 11  0   0     -2.34      0.12      0.32   -461.30      8.20     -1.64    2.9779   190991.0
2024  5  9  3 12  0   0     -2.62      0.02      0.27   -464.43      7.87      0.05    2.8128   183177.0
2024  5  9  3 13  0   0     -2.74     -0.06      0.18   -464.26      8.79      0.26    2.7745   181806.0
2024  5  9  3 14  0   0     -2.75     -0.07      0.07   -463.11      9.51     -0.47    2.7377   179764.3
2024  5  9  3 15  0   0     -2.74     -0.01     -0.09   -462.09      7.74     -0.76    2.7204   178303.7
2024  5  9  3 16  0   0     -2.72      0.17     -0.08   -462.10      3.66     -2.19    2.7563   178082.2
2024  5  9  3 17  0   0     -2.68      0.40      0.07   -462.11      0.40     -4.55    2.7878   176935.6
2024  5  9  3 18  0   0     -2.58      0.67      0.02   -466.90     -0.70     -5.35    3.0802   186472.0
2024  5  9  3 19  0   0     -2.22      0.67     -0.45   -467.07     -1.59      0.37    3.1621   183253.2
2024  5  9  3 20  0   0     -1.99      0.57     -0.81   -466.06     -4.89      6.68    3.1442   177006.3
2024  5  9  3 21  0   0     -1.80      0.69     -1.09   -465.07     -4.54      8.13    2.9747   169174.7
2024  5  9  3 22  0   0     -1.66      1.00     -0.88   -464.27     -1.50     10.74    2.7489   174763.9
2024  5  9  3 23  0   0     -1.61      1.12     -0.56   -463.82     -2.30     13.35    2.6094   187265.4
2024  5  9  3 24  0   0     -1.58      0.93     -0.68   -464.02     -3.46      8.98    2.6566   186295.6
2024  5  9  3 25  0   0     -1.54      0.72     -0.80   -465.02      2.45      0.70    2.7774   177628.9
2024  5  9  3 26  0   0     -1.43      0.84     -0.81   -464.59      6.43     -1.15    2.8162   175797.3
2024  5  9  3 27  0   0     -1.30      1.16     -0.83   -464.83      9.01      0.94    2.8152   174221.9
2024  5  9  3 28  0   0     -1.21      1.22     -0.75   -465.17      8.08      4.42    2.8861   173713.1
2024  5  9  3 29  0   0     -1.18      1.11     -0.77   -463.74      6.64      4.96    3.0828   178304.5
2024  5  9  3 30  0   0     -1.15      1.12     -0.79   -460.93      6.53      4.43    3.2181   181372.4
2024  5  9  3 31  0   0     -1.14      1.05     -0.77   -458.12      5.57      5.82    3.2590   178596.6
2024  5  9  3 32  0   0     -1.15      1.13     -0.89   -457.50      5.06      7.21    3.2068   175245.9
2024  5  9  3 33  0   0     -1.12      1.31     -1.03   -458.85      5.23      7.73    3.0341   167879.8
2024  5  9  3 34  0   0     -1.02      1.25     -1.11   -461.06      6.71      6.93    2.9403   161371.8
2024  5  9  3 35  0   0     -1.03      1.01     -1.15   -461.75      9.95      5.73    2.9642   163614.2
2024  5  9  3 36  0   0     -1.15      0.82     -1.10   -461.82     12.53      4.90    2.9528   170817.2
2024  5  9  3 37  0   0     -1.18      0.54     -0.99   -461.78     13.34      4.45    2.9723   174813.9
2024  5  9  3 38  0   0     -1.13      0.42     -0.93   -463.70     13.38      4.26    3.0943   180757.9
2024  5  9  3 39  0   0     -1.06      0.20     -0.78   -464.66     14.77      3.62    3.1866   185354.4
2024  5  9  3 40  0   0     -1.04     -0.17     -0.50   -463.93     15.19      1.31    3.1465   185814.7
2024  5  9  3 41  0   0     -1.03      0.19     -0.62   -462.95      8.07      1.42    3.0852   182539.7
2024  5  9  3 42  0   0     -0.95      0.71     -0.74   -460.18     -5.00      3.89    2.9818   177160.2
2024  5  9  3 43  0   0     -0.91      0.82     -0.61   -458.37     -9.81      3.80    2.9679   174335.9
2024  5  9  3 44  0   0     -0.99      1.31     -0.70   -458.47     -4.37      0.30    2.8184   168271.7
2024  5  9  3 45  0   0     -1.13      1.50     -0.63   -459.44      2.39     -2.39    2.7019   166766.1
2024  5  9  3 46  0   0     -1.33      0.93     -0.34   -460.96      9.54     -5.81    2.8378   173493.6
2024  5  9  3 47  0   0     -1.66      0.76     -0.25   -461.40     10.53     -7.43    2.8391   174068.8
2024  5  9  3 48  0   0     -2.27      0.80     -0.34   -461.54      9.41     -5.99    2.7951   172173.7
2024  5  9  3 49  0   0     -2.61      0.76     -0.29   -460.97      9.24     -5.97    2.8217   174967.8
2024  5  9  3 50  0   0     -2.69      0.70     -0.20   -459.86      8.53     -6.47    2.9046   180032.0
2024  5  9  3 51  0   0     -2.68      0.61     -0.08   -459.02      6.36     -7.21    3.0059   184172.9
2024  5  9  3 52  0   0     -2.66      0.54      0.02   -458.36      3.80     -8.40    3.0892   185740.4
2024  5  9  3 53  0   0     -2.65      0.50      0.00   -458.82      2.47     -8.81    3.1085   185318.8
2024  5  9  3 54  0   0     -2.68      0.59     -0.05   -460.75      2.58     -8.68    3.0098   182109.2
2024  5  9  3 55  0   0     -2.77      0.66      0.03   -461.69      2.74     -9.03    3.0175   182085.9
2024  5  9  3 56  0   0     -2.83      0.73      0.15   -462.41      2.92     -9.49    3.1296   183162.0
2024  5  9  3 57  0   0     -2.85      0.85      0.23   -462.45      2.44     -9.69    3.1739   183351.2
2024  5  9  3 58  0   0     -2.80      1.02      0.27   -461.65      0.29     -9.76    3.0979   182804.7
2024  5  9  3 59  0   0     -2.57      1.16      0.29   -461.18     -2.18     -8.75    3.0546   182682.7
2024  5  9  4  0  0   0     -2.27      1.25      0.23   -461.02     -3.92     -7.61    3.0208   181869.3
2024  5  9  4  1  0   0     -1.97      1.36      0.15   -461.64     -4.38     -7.67    2.9835   180865.5
2024  5  9  4  2  0   0     -1.86      1.47      0.22   -462.66     -4.26     -7.12    3.0067   181845.9
2024  5  9  4  3  0   0     -1.85      1.66      0.31   -464.44     -2.73     -5.72    3.0554   184067.8
2024  5  9  4  4  0   0     -1.91      1.86      0.26   -465.49      0.50     -4.22    3.0240   184188.4
2024  5  9  4  5  0   0     -1.99      1.94     -0.02   -465.15      1.93     -3.20    2.9446   185972.0
2024  5  9  4  6  0   0     -1.96      2.00     -0.17   -465.38      1.36     -1.97    2.9117   187520.7
2024  5  9  4  7  0   0     -1.88      2.08     -0.16   -465.86      0.70     -0.72    2.9608   187824.4
2024  5  9  4  8  0   0     -1.76      2.18     -0.18   -465.16      0.06     -0.95    3.0347   185736.0
2024  5  9  4  9  0   0     -1.65      2.29     -0.29   -463.65     -0.93     -0.60    3.0545   185089.2
2024  5  9  4 10  0   0     -1.54      2.35     -0.42   -462.72     -2.60      1.44    3.0577   186869.4
2024  5  9  4 11  0   0     -1.51      2.41     -0.55   -462.74     -2.82      1.82    3.0812   186718.0
2024  5  9  4 12  0   0     -1.44      2.43     -0.62   -462.97     -1.87      1.07    3.0910   186848.6
